comment,label
tôi rất thích không gian ở đây,positive
quá ồn ào không thể thư giãn,negative
phòng rất sạch sẽ và thoải mái,positive
tôi không bao giờ muốn đến đây nữa quá thất vọng,negative
phòng bẩn có mùi hôi,negative
thức ăn ngon phục vụ nhanh,positive
chất lượng dịch vụ tốt đáng đồng tiền,positive
nhân viên thái độ kém không hỗ trợ khách hàng,negative
giá cả hợp lý đáng để quay lại,positive
tôi cảm thấy bị lừa vì chất lượng không như quảng cáo,negative
giá quá cao so với chất lượng,negative
âm thanh hay ánh sáng tốt trải nghiệm tuyệt vời,positive
mạng wifi yếu không thể sử dụng được,negative
ghế ngồi không thoải mái rất khó chịu,negative
phòng rộng rãi sạch sẽ,positive
dịch vụ quá tệ nhân viên không thân thiện,negative
dịch vụ tốt nhân viên nhiệt tình,positive
quán trang trí đẹp không gian thoải mái,positive
máy lạnh bị hư nóng quá chịu không nổi,negative
nhân viên phục vụ rất chuyên nghiệp,positive
"Đèn phòng quá tối, khó nhìn thấy lời bài hát.",negative
"Nhạc phong phú, có nhiều bài mới.",positive
"Nhạc phong phú, có nhiều bài mới.",positive
Phòng karaoke không sạch sẽ như mong đợi.,negative
"Phòng cách âm kém, bị ảnh hưởng từ phòng bên cạnh.",negative
"Nhạc quá ít bài mới, không có bài mình thích.",negative
Giá cao nhưng chất lượng không tương xứng.,negative
Hát được một lúc thì micro mất tiếng.,negative
"Thiết bị hay bị lỗi, micro không hoạt động tốt.",negative
Rất thích cách bố trí không gian ở đây.,positive
Giá cao nhưng chất lượng không tương xứng.,negative
"Máy tính chọn bài bị lag, rất khó chịu.",negative
"Dịch vụ rất tốt, đáng tiền.",positive
Hát được một lúc thì micro mất tiếng.,negative
"Nhạc phong phú, có nhiều bài mới.",positive
"Giá cả hợp lý, rất hài lòng.",positive
"Máy tính chọn bài bị lag, rất khó chịu.",negative
"Nhân viên phục vụ chậm, gọi mãi không thấy ai.",negative
"Hệ thống âm thanh hiện đại, nghe rất hay.",positive
"Hệ thống âm thanh kém, hát không nghe rõ.",negative
"Hệ thống âm thanh hiện đại, nghe rất hay.",positive
"Nhân viên phục vụ chậm, gọi mãi không thấy ai.",negative
Đặt phòng trước mà vẫn phải đợi lâu.,negative
Phải chờ lâu mới được lên bài.,negative
"Nhân viên không thân thiện, thái độ kém.",negative
"Phòng cách âm kém, bị ảnh hưởng từ phòng bên cạnh.",negative
Có chương trình khuyến mãi hấp dẫn.,positive
Mức giá quá cao so với mặt bằng chung.,negative
Rất thích cách bố trí không gian ở đây.,positive
Hát được một lúc thì micro mất tiếng.,negative
"Hát cả buổi mà không chán, nhạc chuẩn.",positive
Đồ ăn đắt và không ngon.,negative
"Máy móc thiết bị hoạt động tốt, không bị trục trặc.",positive
"Phòng cách âm kém, bị ảnh hưởng từ phòng bên cạnh.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Hát cả buổi mà không chán, nhạc chuẩn.",positive
"Karaoke mở cửa tới khuya, rất tiện cho nhóm bạn.",positive
Nhân viên phục vụ rất chu đáo và thân thiện.,positive
Có chương trình khuyến mãi hấp dẫn.,positive
"Hệ thống âm thanh hiện đại, nghe rất hay.",positive
"Máy tính chọn bài bị lag, rất khó chịu.",negative
"Thiết bị hay bị lỗi, micro không hoạt động tốt.",negative
"Nhạc phong phú, có nhiều bài mới.",positive
Chất lượng phục vụ xứng đáng với giá tiền.,positive
Có chương trình khuyến mãi hấp dẫn.,positive
"Phòng cách âm tốt, không bị ồn từ bên ngoài.",positive
Đồ ăn đắt và không ngon.,negative
"Không gian sạch sẽ, âm thanh sống động.",positive
"Máy tính chọn bài bị lag, rất khó chịu.",negative
"Phòng có đèn LED đẹp, tạo cảm giác chill.",positive
Có chương trình khuyến mãi hấp dẫn.,positive
"Phòng cách âm kém, bị ảnh hưởng từ phòng bên cạnh.",negative
"Nhân viên phục vụ chậm, gọi mãi không thấy ai.",negative
"Không có chỗ đậu xe, rất bất tiện.",negative
"Hát cả buổi mà không chán, nhạc chuẩn.",positive
"Nhạc quá ít bài mới, không có bài mình thích.",negative
"Không có chỗ đậu xe, rất bất tiện.",negative
"Không gian nhỏ, cảm giác bí bách.",negative
Không có nhiều chương trình khuyến mãi.,negative
"Đèn phòng quá tối, khó nhìn thấy lời bài hát.",negative
Giá cao nhưng chất lượng không tương xứng.,negative
Rất thích cách bố trí không gian ở đây.,positive
"Máy tính chọn bài bị lag, rất khó chịu.",negative
Nhân viên tư vấn chọn bài rất nhiệt tình.,positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Giá cả hợp lý, rất hài lòng.",positive
"Không gian sạch sẽ, âm thanh sống động.",positive
"Giá cả hợp lý, rất hài lòng.",positive
Phải chờ lâu mới được lên bài.,negative
Chất lượng phục vụ xứng đáng với giá tiền.,positive
"Hệ thống âm thanh hiện đại, nghe rất hay.",positive
"Dịch vụ rất tốt, đáng tiền.",positive
"Nhân viên không thân thiện, thái độ kém.",negative
"Nhạc quá ít bài mới, không có bài mình thích.",negative
Phòng VIP cực kỳ đẹp và sang trọng.,positive
