comment,label
tôi rất thích không gian ở đây,positive
quá ồn ào không thể thư giãn,negative
phòng rất sạch sẽ và thoải mái,positive
tôi không bao giờ muốn đến đây nữa quá thất vọng,negative
phòng bẩn có mùi hôi,negative
thức ăn ngon phục vụ nhanh,positive
chất lượng dịch vụ tốt đáng đồng tiền,positive
nhân viên thái độ kém không hỗ trợ khách hàng,negative
giá cả hợp lý đáng để quay lại,positive
tôi cảm thấy bị lừa vì chất lượng không như quảng cáo,negative
giá quá cao so với chất lượng,negative
âm thanh hay ánh sáng tốt trải nghiệm tuyệt vời,positive
mạng wifi yếu không thể sử dụng được,negative
ghế ngồi không thoải mái rất khó chịu,negative
phòng rộng rãi sạch sẽ,positive
dịch vụ quá tệ nhân viên không thân thiện,negative
dịch vụ tốt nhân viên nhiệt tình,positive
quán trang trí đẹp không gian thoải mái,positive
máy lạnh bị hư nóng quá chịu không nổi,negative
nhân viên phục vụ rất chuyên nghiệp,positive
đèn phòng quá tối khó nhìn thấy lời bài hát,negative
nhạc phong phú có nhiều bài mới,positive
phòng karaoke không sạch sẽ như mong đợi,negative
phòng cách âm kém bị ảnh hưởng từ phòng bên cạnh,negative
nhạc quá ít bài mới không có bài mình thích,negative
giá cao nhưng chất lượng không tương xứng,negative
hát được một lúc thì micro mất tiếng,negative
thiết bị hay bị lỗi micro không hoạt động tốt,negative
rất thích cách bố trí không gian ở đây,positive
máy tính chọn bài bị lag rất khó chịu,negative
dịch vụ rất tốt đáng tiền,positive
giá cả hợp lý rất hài lòng,positive
nhân viên phục vụ chậm gọi mãi không thấy ai,negative
hệ thống âm thanh hiện đại nghe rất hay,positive
hệ thống âm thanh kém hát không nghe rõ,negative
đặt phòng trước mà vẫn phải đợi lâu,negative
phải chờ lâu mới được lên bài,negative
nhân viên không thân thiện thái độ kém,negative
có chương trình khuyến mãi hấp dẫn,positive
mức giá quá cao so với mặt bằng chung,negative
hát cả buổi mà không chán nhạc chuẩn,positive
đồ ăn đắt và không ngon,negative
máy móc thiết bị hoạt động tốt không bị trục trặc,positive
đồ ăn và nước uống ngon phục vụ nhanh,positive
karaoke mở cửa tới khuya rất tiện cho nhóm bạn,positive
nhân viên phục vụ rất chu đáo và thân thiện,positive
chất lượng phục vụ xứng đáng với giá tiền,positive
phòng cách âm tốt không bị ồn từ bên ngoài,positive
không gian sạch sẽ âm thanh sống động,positive
phòng có đèn led đẹp tạo cảm giác chill,positive
không có chỗ đậu xe rất bất tiện,negative
không gian nhỏ cảm giác bí bách,negative
không có nhiều chương trình khuyến mãi,negative
nhân viên tư vấn chọn bài rất nhiệt tình,positive
phòng vip cực kỳ đẹp và sang trọng,positive
không gian rộng rãi phù hợp cho hội nhóm,positive
wifi yếu không thể tra bài hát online,negative
có chỗ đậu xe rộng rãi rất tiện lợi,positive
phục vụ không nhiệt tình không vui vẻ,negative
đi hát lần nào cũng thấy vui,positive
comment,label
âm thanh rè mic không tốt,negative
dịch vụ kém nhân viên thiếu chuyên nghiệp,negative
nhân viên thái độ kém không nhiệt tình,negative
karaoke rất vui sẽ quay lại lần sau,positive
đồ uống đắt nhưng không ngon,negative
chờ đợi quá lâu mới được phục vụ,negative
âm thanh hay phòng sạch sẽ,positive
phòng quá nhỏ không đủ chỗ ngồi,negative
giá cả hợp lý chất lượng tốt,positive
hệ thống đặt phòng không tốt phải đợi lâu,negative
không gian đẹp âm thanh sống động,positive
nhạc chất lượng cao cảm giác tuyệt vời,positive
không gian quá ồn ào không thoải mái,negative
không có nhiều bài hát mới,negative
đèn trang trí đẹp tạo không khí sôi động,positive
nhân viên phục vụ chu đáo rất hài lòng,positive
rất thích không gian ở đây thoải mái,positive
dịch vụ tuyệt vời nhân viên thân thiện,positive
nhân viên không nhiệt tình điều hòa hỏng âm thanh chán,negative
âm thanh sống động giá cả hợp lý trải nghiệm đáng nhớ chỗ đậu xe rộng rãi dịch vụ tuyệt vời,positive
giá quá cao nhân viên không thân thiện phòng dơ bẩn,negative
trải nghiệm tệ hại bảng chọn bài khó dùng phục vụ chậm phòng dơ bẩn nhạc cũ kỹ,negative
ghế ngồi cứng thất vọng về chất lượng giá quá cao bảng chọn bài khó dùng,negative
thời gian phục vụ nhanh bảng chọn bài dễ dùng trải nghiệm đáng nhớ,positive
hệ thống ánh sáng kém bảng chọn bài khó dùng,negative
hệ thống ánh sáng đẹp điều hòa mát mẻ trải nghiệm đáng nhớ,positive
nhân viên không thân thiện ghế ngồi cứng bảng chọn bài khó dùng,negative
nhân viên thân thiện phòng sạch sẽ hệ thống ánh sáng đẹp,positive
âm thanh sống động nhạc hay giá cả hợp lý ghế ngồi thoải mái điều hòa mát mẻ,positive
chất lượng vượt mong đợi chỗ ngồi rộng rãi có nhiều bài hát mới,positive
âm thanh chán không gian chật chội không đáng tiền dịch vụ quá tệ,negative
phòng sạch sẽ nhạc hay hệ thống ánh sáng đẹp,positive
quản lý không quan tâm ghế ngồi cứng thất vọng về chất lượng,negative
không đáng tiền không gian chật chội,negative
bảng chọn bài khó dùng ghế ngồi cứng âm thanh chán dịch vụ quá tệ quản lý không quan tâm,negative
